year,month,day,hour,min,sec,swvel
2018,5,25,21,10,0,0.0333752898470635
2018,5,25,21,20,0,0.0350751784976034
2018,5,25,21,30,0,0.0372770537257524
2018,5,25,21,40,0,0.0400214022109496
2018,5,25,21,50,0,0.0433264547814262
2018,5,25,22,0,0,0.0471869134758644
2018,5,25,22,10,0,0.0515734199147659
2018,5,25,22,20,0,0.056432962465533
2018,5,25,22,30,0,0.0616900498865506
2018,5,25,22,40,0,0.0672486554541329
2018,5,25,22,50,0,0.0729949144416091
2018,5,25,23,0,0,0.0788002147232435
2018,5,25,23,10,0,0.0845248262319682
2018,5,25,23,20,0,0.0900219263165752
2018,5,25,23,30,0,0.0951418654342676
2018,5,25,23,40,0,0.0997364596135145
2018,5,25,23,50,0,0.103663283593474
2018,5,26,0,0,0,0.106789830202821
2018,5,26,0,10,0,0.108997392092448
2018,5,26,0,20,0,0.110184444278258
2018,5,26,0,30,0,0.110269540019212
2018,5,26,0,40,0,0.109193592909352
2018,5,26,0,50,0,0.106921608525591
2018,5,26,1,0,0,0.103443833457285
2018,5,26,1,10,0,0.0987761664608958
2018,5,26,1,20,0,0.0929598556865452
2018,5,26,1,30,0,0.0860606544010655
2018,5,26,1,40,0,0.0781674774540629
2018,5,26,1,50,0,0.0693903189582701
2018,5,26,2,0,0,0.0598575629255462
2018,5,26,2,10,0,0.049712921333371
2018,5,26,2,20,0,0.0391119122917994
2018,5,26,2,30,0,0.0282183828271921
2018,5,26,2,40,0,0.0172008284106184
2018,5,26,2,50,0,0.00622877491796351
2018,5,26,3,0,0,-0.00453085872693408
2018,5,26,3,10,0,-0.0149171883304054
2018,5,26,3,20,0,-0.0247785205044395
2018,5,26,3,30,0,-0.0339751377612458
2018,5,26,3,40,0,-0.0423815881843695
2018,5,26,3,50,0,-0.0498887798004598
2018,5,26,4,0,0,-0.0564056317505177
2018,5,26,4,10,0,-0.0618602173317643
2018,5,26,4,20,0,-0.066200235144731
2018,5,26,4,30,0,-0.0693928787154955
2018,5,26,4,40,0,-0.0714242973939128
2018,5,26,4,50,0,-0.0722986480476152
2018,5,26,5,0,0,-0.0720365608809016
2018,5,26,5,10,0,-0.0706732843604683
2018,5,26,5,20,0,-0.0682565079585283
2018,5,26,5,30,0,-0.0648439658025577
2018,5,26,5,40,0,-0.0605008206735204
2018,5,26,5,50,0,-0.0552971667532818
2018,5,26,6,0,0,-0.0493057888588846
2018,5,26,6,10,0,-0.0426000434588538
2018,5,26,6,20,0,-0.0352519427622786
2018,5,26,6,30,0,-0.02733053595926
2018,5,26,6,40,0,-0.0189007741172915
2018,5,26,6,50,0,-0.0100226386264408
2018,5,26,7,0,0,-0.00075063560025454
2018,5,26,7,10,0,0.00886621009008048
2018,5,26,7,20,0,0.0187837342179282
2018,5,26,7,30,0,0.0289617618286309
2018,5,26,7,40,0,0.0393628318693626
2018,5,26,7,50,0,0.0499508688192608
2018,5,26,8,0,0,0.0606896302073794
2018,5,26,8,10,0,0.0715409920973911
2018,5,26,8,20,0,0.0824633136682445
2018,5,26,8,30,0,0.093409831281291
2018,5,26,8,40,0,0.104327294492964
2018,5,26,8,50,0,0.115154882069858
2018,5,26,9,0,0,0.125823445416684
2018,5,26,9,10,0,0.136255132789424
2018,5,26,9,20,0,0.146363589257514
2018,5,26,9,30,0,0.15605451855549
2018,5,26,9,40,0,0.165226715821154
2018,5,26,9,50,0,0.173773574709827
2018,5,26,10,0,0,0.181584917450756
2018,5,26,10,10,0,0.188549277283774
2018,5,26,10,20,0,0.194556420135966
2018,5,26,10,30,0,0.19949996566133
2018,5,26,10,40,0,0.203280208956132
2018,5,26,10,50,0,0.205806916424631
2018,5,26,11,0,0,0.207001940204514
2018,5,26,11,10,0,0.206801808922914
2018,5,26,11,20,0,0.205159982219116
2018,5,26,11,30,0,0.202048756515534
2018,5,26,11,40,0,0.197460690220432
2018,5,26,11,50,0,0.191409574957933
2018,5,26,12,0,0,0.183930878486173
2018,5,26,12,10,0,0.175081636451528
2018,5,26,12,20,0,0.164939987259063
2018,5,26,12,30,0,0.15360412828006
2018,5,26,12,40,0,0.141190831230674
2018,5,26,12,50,0,0.127833603813246
2018,5,26,13,0,0,0.113680527146023
2018,5,26,13,10,0,0.0988917774387191
2018,5,26,13,20,0,0.0836369404961056
2018,5,26,13,30,0,0.0680924321564832
2018,5,26,13,40,0,0.0524388169466509
2018,5,26,13,50,0,0.0368580539742792
2018,5,26,14,0,0,0.021530757313557
2018,5,26,14,10,0,0.00663355457638819
2018,5,26,14,20,0,-0.00766332687986765
2018,5,26,14,30,0,-0.0211983582555444
2018,5,26,14,40,0,-0.0338209887188611
2018,5,26,14,50,0,-0.0453936508713555
2018,5,26,15,0,0,-0.0557935750299739
2018,5,26,15,10,0,-0.0649142996320959
2018,5,26,15,20,0,-0.0726668989522581
2018,5,26,15,30,0,-0.0789810497045657
2018,5,26,15,40,0,-0.0838058966673914
2018,5,26,15,50,0,-0.0871106388675722
2018,5,26,16,0,0,-0.0888849213827186
2018,5,26,16,10,0,-0.08913903505486
2018,5,26,16,20,0,-0.087903935489334
2018,5,26,16,30,0,-0.0852308607474973
2018,5,26,16,40,0,-0.0811905698422587
2018,5,26,16,50,0,-0.0758724049066349
2018,5,26,17,0,0,-0.0693830238883049
2018,5,26,17,10,0,-0.0618448559730164
2018,5,26,17,20,0,-0.0533941073311723
2018,5,26,17,30,0,-0.0441786498854505
2018,5,26,17,40,0,-0.0343555942276427
2018,5,26,17,50,0,-0.0240885019825075
2018,5,26,18,0,0,-0.0135444161378798
2018,5,26,18,10,0,-0.00289078306564616
2018,5,26,18,20,0,0.00770775814107297
2018,5,26,18,30,0,0.0180927349536312
2018,5,26,18,40,0,0.0281151208194201
2018,5,26,18,50,0,0.0376383939418417
2018,5,26,19,0,0,0.0465412707823148
