year,month,day,hour,min,sec,pH_tot
2017,2,16,15,17,0,7.802
2017,2,16,18,17,0,7.798
2017,2,16,21,17,0,7.811
2017,2,17,0,17,0,7.836
2017,2,17,6,17,0,7.817
2017,2,17,9,17,0,7.8
2017,2,17,12,17,0,7.797
2017,2,17,15,17,0,7.804
2017,2,17,18,17,0,7.799
2017,2,17,21,17,0,7.803
2017,2,18,0,17,0,7.811
2017,2,18,6,17,0,7.798
2017,2,18,9,17,0,7.815
2017,2,18,12,17,0,7.807
2017,2,18,15,17,0,7.806
2017,2,18,18,17,0,7.803
2017,2,18,21,17,0,7.81
2017,2,19,0,17,0,7.835
2017,2,19,3,17,0,7.811
2017,2,19,6,17,0,7.835
2017,2,19,9,17,0,7.81
2017,2,19,12,17,0,7.83
2017,2,19,15,17,0,7.8
2017,2,19,18,17,0,7.829
2017,2,19,21,17,0,7.825
2017,2,20,3,17,0,7.811
2017,2,20,6,17,0,7.815
2017,2,20,9,17,0,7.83
2017,2,20,12,17,0,7.836
2017,2,20,15,17,0,7.809
2017,2,20,18,17,0,7.841
2017,2,20,21,17,0,7.825
2017,2,21,0,17,0,7.837
2017,2,21,3,17,0,7.84
2017,2,21,6,17,0,7.841
2017,2,21,12,17,0,7.826
2017,2,21,15,17,0,7.819
2017,2,21,18,17,0,7.816
2017,2,21,21,17,0,7.824
2017,2,22,0,17,0,7.814
2017,2,22,3,17,0,7.851
2017,2,22,6,17,0,7.845
2017,2,22,9,17,0,7.847
2017,2,22,12,17,0,7.84
2017,2,22,15,17,0,7.807
2017,2,22,18,17,0,7.832
2017,2,22,21,17,0,7.824
2017,2,23,0,17,0,7.848
2017,2,23,3,17,0,7.833
2017,2,23,6,17,0,7.849
2017,2,23,12,17,0,7.788
2017,2,23,15,17,0,7.823
2017,2,23,18,17,0,7.787
2017,2,23,21,17,0,7.83
2017,2,24,3,17,0,7.848
2017,2,24,6,17,0,7.875
2017,2,24,9,17,0,7.854
2017,2,24,12,17,0,7.827
2017,2,24,15,17,0,7.824
2017,2,24,18,17,0,7.823
2017,2,24,21,17,0,7.82
2017,2,25,0,17,0,7.868
2017,2,25,3,17,0,7.842
2017,2,25,6,17,0,7.843
2017,2,25,9,17,0,7.824
2017,2,25,12,17,0,7.857
2017,2,25,15,17,0,7.823
2017,2,25,18,17,0,7.831
2017,2,25,21,17,0,7.863
2017,2,26,0,17,0,7.869
2017,2,26,3,17,0,7.834
2017,2,26,6,17,0,7.861
2017,2,26,9,17,0,7.863
2017,2,26,12,17,0,7.84
2017,2,26,15,17,0,7.821
2017,2,26,18,17,0,7.827
2017,2,26,21,17,0,7.853
2017,2,28,0,17,0,7.828
2017,2,28,3,17,0,7.842
2017,2,28,6,17,0,7.864
2017,2,28,12,17,0,7.841
2017,2,28,15,17,0,7.863
2017,2,28,18,17,0,7.814
2017,2,28,21,17,0,7.832
2017,3,1,0,17,0,7.852
2017,3,1,3,17,0,7.852
2017,3,1,6,17,0,7.865
2017,3,1,9,17,0,7.813
2017,3,1,12,17,0,7.845
2017,3,1,15,17,0,7.865
2017,3,1,18,17,0,7.824
2017,3,1,21,17,0,7.825
2017,3,2,0,17,0,7.854
2017,3,2,3,17,0,7.867
2017,3,2,6,17,0,7.875
2017,3,2,9,17,0,7.868
2017,3,2,12,17,0,7.866
2017,3,2,15,17,0,7.828
2017,3,2,18,17,0,7.853
2017,3,2,21,17,0,7.861
2017,3,3,0,17,0,7.836
2017,3,3,3,17,0,7.835
2017,3,3,6,17,0,7.832
2017,3,3,9,17,0,7.842
2017,3,3,12,17,0,7.826
2017,3,3,15,17,0,7.85
2017,3,3,18,17,0,7.842
2017,3,3,21,17,0,7.848
2017,3,4,0,17,0,7.851
2017,3,4,3,17,0,7.871
2017,3,4,6,17,0,7.875
2017,3,4,9,17,0,7.827
2017,3,4,12,17,0,7.847
2017,3,4,15,17,0,7.85
2017,3,4,18,17,0,7.862
2017,3,4,21,17,0,7.827
2017,3,5,0,17,0,7.849
2017,3,5,3,17,0,7.85
2017,3,5,6,17,0,7.81
2017,3,5,9,17,0,7.859
2017,3,5,12,17,0,7.835
2017,3,5,15,17,0,7.837
2017,3,5,18,17,0,7.831
2017,3,5,21,17,0,7.857
2017,3,6,0,17,0,7.831
2017,3,6,3,17,0,7.857
2017,3,6,6,17,0,7.841
2017,3,6,9,17,0,7.857
2017,3,6,12,17,0,7.851
2017,3,6,18,17,0,7.868
2017,3,6,21,17,0,7.863
2017,3,7,0,17,0,7.839
2017,3,7,6,17,0,7.87
2017,3,7,9,17,0,7.859
2017,3,7,15,17,0,7.849
2017,3,7,18,17,0,7.869
2017,3,7,21,17,0,7.854
2017,3,8,0,17,0,7.882
2017,3,8,3,17,0,7.873
2017,3,8,6,17,0,7.83
2017,3,8,9,17,0,7.878
2017,3,8,12,17,0,7.846
2017,3,8,15,17,0,7.841
2017,3,8,18,17,0,7.859
2017,3,8,21,17,0,7.865
2017,3,9,0,17,0,7.889
2017,3,9,3,17,0,7.889
2017,3,9,6,17,0,7.862
2017,3,9,9,17,0,7.858
2017,3,9,12,17,0,7.856
2017,3,9,15,17,0,7.849
2017,3,9,18,17,0,7.837
2017,3,9,21,17,0,7.866
2017,3,10,0,17,0,8.016
2017,3,10,3,17,0,7.861
2017,3,10,6,17,0,7.844
2017,3,10,9,17,0,7.87
2017,3,10,12,17,0,7.85
2017,3,10,15,17,0,7.823
2017,3,10,18,17,0,7.832
2017,3,10,21,17,0,7.849
2017,3,11,3,17,0,7.851
2017,3,11,6,17,0,7.841
2017,3,11,9,17,0,7.861
2017,3,11,12,17,0,7.856
2017,3,11,15,17,0,7.874
2017,3,11,18,17,0,7.836
2017,3,11,21,17,0,7.858
2017,3,12,3,17,0,7.837
2017,3,12,6,17,0,7.859
2017,3,12,9,17,0,7.841
2017,3,12,12,17,0,7.811
2017,3,12,15,17,0,7.828
2017,3,12,18,17,0,7.851
2017,3,12,21,17,0,7.848
2017,3,13,0,17,0,7.827
2017,3,13,3,17,0,7.834
2017,3,13,6,17,0,7.841
2017,3,13,9,17,0,7.829
2017,3,13,12,17,0,7.83
2017,3,13,15,17,0,7.814
2017,3,13,18,17,0,7.83
2017,3,13,21,17,0,7.865
2017,3,14,0,17,0,7.837
2017,3,14,3,17,0,7.831
2017,3,14,6,17,0,7.863
2017,3,14,9,17,0,7.85
2017,3,14,12,17,0,7.847
2017,3,14,15,17,0,7.807
2017,3,14,18,17,0,7.848
2017,3,14,21,17,0,7.862
2017,3,15,0,17,0,7.834
2017,3,15,3,17,0,7.831
2017,3,15,6,17,0,7.843
2017,3,15,9,17,0,7.848
2017,3,15,12,17,0,7.834
2017,3,15,15,17,0,7.846
2017,3,15,18,17,0,7.843
2017,3,15,21,17,0,7.845
2017,3,16,0,17,0,7.819
2017,3,16,3,17,0,7.838
2017,3,16,6,17,0,7.827
2017,3,16,9,17,0,7.821
2017,3,16,12,17,0,7.846
2017,3,16,15,17,0,7.852
2017,3,16,18,17,0,7.829
2017,3,16,21,17,0,7.874
2017,3,17,0,17,0,7.873
2017,3,17,3,17,0,7.854
2017,3,17,6,17,0,7.845
2017,3,17,9,17,0,7.84
2017,3,17,12,17,0,7.834
2017,3,17,15,17,0,7.831
2017,3,17,18,17,0,7.836
2017,3,17,21,17,0,7.822
2017,3,18,0,17,0,7.832
2017,3,18,3,17,0,7.867
2017,3,18,6,17,0,7.874
2017,3,18,9,17,0,7.848
2017,3,18,12,17,0,7.876
2017,3,18,15,17,0,7.845
2017,3,18,18,17,0,7.831
2017,3,18,21,17,0,7.835
2017,3,19,0,17,0,7.865
2017,3,19,3,17,0,7.862
2017,3,19,6,17,0,7.848
2017,3,19,9,17,0,7.815
2017,3,19,12,17,0,7.841
2017,3,19,15,17,0,7.859
2017,3,19,18,17,0,7.825
2017,3,19,21,17,0,7.877
2017,3,20,0,17,0,7.873
2017,3,20,3,17,0,7.859
2017,3,20,6,17,0,7.862
2017,3,20,9,17,0,7.852
2017,3,20,12,17,0,7.829
2017,3,20,15,17,0,7.876
2017,3,20,18,17,0,7.881
2017,3,20,21,17,0,7.855
2017,3,21,0,17,0,7.89
2017,3,21,3,17,0,7.898
2017,3,21,12,17,0,7.863
2017,3,21,15,17,0,7.845
2017,3,21,18,17,0,7.857
2017,3,21,21,17,0,7.841
2017,3,22,0,17,0,7.879
2017,3,22,3,17,0,7.865
2017,3,22,6,17,0,7.902
2017,3,22,9,17,0,7.865
2017,3,22,12,17,0,7.847
2017,3,22,15,17,0,7.896
2017,3,22,18,17,0,7.873
2017,3,22,21,17,0,7.87
2017,3,23,0,17,0,7.871
2017,3,23,3,17,0,7.88
2017,3,23,6,17,0,7.884
2017,3,23,9,17,0,7.915
2017,3,23,12,17,0,7.877
2017,3,23,15,17,0,7.885
2017,3,23,18,17,0,7.898
2017,3,23,21,17,0,7.931
2017,3,24,0,17,0,7.947
2017,3,24,3,17,0,7.933
2017,3,24,6,17,0,7.933
2017,3,24,9,17,0,7.941
2017,3,24,12,17,0,7.936
2017,3,24,15,17,0,7.923
2017,3,24,18,17,0,7.905
2017,3,24,21,17,0,7.914
2017,3,25,0,17,0,7.967
2017,3,25,3,17,0,7.942
2017,3,25,6,17,0,7.953
2017,3,25,9,17,0,7.951
2017,3,25,12,17,0,7.972
2017,3,25,15,17,0,7.915
2017,3,25,18,17,0,7.932
2017,3,26,0,17,0,7.979
2017,3,26,3,17,0,7.967
2017,3,26,6,17,0,7.98
2017,3,26,9,17,0,7.992
2017,3,26,12,17,0,7.939
2017,3,26,15,17,0,7.962
2017,3,26,18,17,0,7.931
2017,3,26,21,17,0,8.005
2017,3,27,0,17,0,8.007
2017,3,27,3,17,0,7.996
2017,3,27,6,17,0,7.99
2017,3,27,9,17,0,8.093
2017,3,27,12,17,0,8.013
2017,3,27,15,17,0,7.946
2017,3,27,18,17,0,7.951
2017,3,27,21,17,0,8.009
2017,3,28,0,17,0,8.015
2017,3,28,3,17,0,7.975
2017,3,28,6,17,0,8.03
2017,3,28,9,17,0,7.956
2017,3,28,12,17,0,8.011
2017,3,28,15,17,0,7.921
2017,3,28,18,17,0,7.984
2017,3,28,21,17,0,8.023
2017,3,29,0,17,0,8
2017,3,29,3,17,0,7.986
2017,3,29,6,17,0,7.99
2017,3,29,9,17,0,8.017
2017,3,29,12,17,0,7.994
2017,3,29,15,17,0,8.053
2017,3,29,18,17,0,8.04
2017,3,29,21,17,0,8.055
2017,3,30,0,17,0,8.053
2017,3,30,3,17,0,8.043
2017,3,30,6,17,0,8.021
2017,3,30,12,17,0,8.066
2017,3,30,15,17,0,8.025
2017,3,30,18,17,0,8.039
2017,3,30,21,17,0,8.11
2017,3,31,0,17,0,8.35
2017,3,31,3,17,0,8.1
2017,3,31,6,17,0,8.092
2017,3,31,9,17,0,8.103
2017,3,31,12,17,0,8.103
2017,3,31,15,17,0,8.036
2017,3,31,18,17,0,8.01
2017,3,31,21,17,0,8.104
2017,4,1,0,17,0,8.215
2017,4,1,3,17,0,8.131
2017,4,1,6,17,0,8.171
2017,4,1,9,17,0,7.989
2017,4,1,12,17,0,8.127
2017,4,1,15,17,0,8.631
2017,4,1,18,17,0,8.2
2017,4,1,21,17,0,8.482
2017,4,2,0,17,0,8.203
2017,4,2,3,17,0,8.293
2017,4,2,6,17,0,8.128
2017,4,2,9,17,0,8.019
2017,4,2,12,17,0,8.017
2017,4,2,15,17,0,8.115
2017,4,2,18,17,0,8.08
2017,4,2,21,17,0,8.301
2017,4,3,0,17,0,8.466
2017,4,3,3,17,0,8.289
2017,4,3,6,17,0,8.209
2017,4,3,9,17,0,8.066
2017,4,3,12,17,0,8.043
2017,4,3,15,17,0,8.192
2017,4,3,18,17,0,8.154
2017,4,3,21,17,0,8.048
2017,4,4,0,17,0,8.148
2017,4,4,3,17,0,8.191
2017,4,4,6,17,0,8.134
2017,4,4,9,17,0,8.183
2017,4,4,12,17,0,8.158
2017,4,4,15,17,0,8.177
2017,4,4,18,17,0,8.266
2017,4,4,21,17,0,8.105
2017,4,5,0,17,0,8.131
2017,4,5,3,17,0,8.083
2017,4,5,6,17,0,8.033
2017,4,5,9,17,0,8.123
2017,4,5,12,17,0,8.054
2017,4,5,15,17,0,8.128
2017,4,5,18,17,0,8.296
2017,4,5,21,17,0,8.364
2017,4,6,0,17,0,8.219
2017,4,6,3,17,0,8.398
2017,4,6,6,17,0,8.347
2017,4,6,9,17,0,8.281
2017,4,6,12,17,0,8.273
2017,4,6,15,17,0,8.236
2017,4,6,18,17,0,8.303
2017,4,6,21,17,0,8.213
2017,4,7,0,17,0,8.191
2017,4,7,3,17,0,8.511
2017,4,7,6,17,0,8.452
2017,4,7,9,17,0,8.476
2017,4,7,15,17,0,8.281
2017,4,7,18,17,0,8.159
2017,4,7,21,17,0,8.218
2017,4,8,0,17,0,8.242
2017,4,8,3,17,0,8.137
2017,4,8,6,17,0,8.274
2017,4,8,9,17,0,8.158
2017,4,8,15,17,0,8.216
2017,4,8,18,17,0,8.117
2017,4,8,21,17,0,8.148
2017,4,9,0,17,0,8.099
2017,4,9,3,17,0,8.157
2017,4,9,6,17,0,8.143
2017,4,9,9,17,0,8.061
2017,4,9,15,17,0,8.057
2017,4,9,18,17,0,8.14
2017,4,10,0,17,0,8.195
2017,4,10,3,17,0,8.283
2017,4,10,6,17,0,8.23
2017,4,10,9,17,0,8.384
2017,4,10,12,17,0,8.186
2017,4,10,15,17,0,8.088
2017,4,10,18,17,0,8.131
2017,4,10,21,17,0,8.161
2017,4,11,0,17,0,8.01
2017,4,11,3,17,0,8.126
2017,4,11,6,17,0,8.345
2017,4,11,9,17,0,8.082
2017,4,11,12,17,0,8.007
2017,4,11,15,17,0,8.184
2017,4,11,18,17,0,8.227
2017,4,11,21,17,0,8.162
2017,4,12,0,17,0,8.502
2017,4,12,3,17,0,8.162
2017,4,12,6,17,0,8.125
2017,4,12,9,17,0,8.152
2017,4,12,12,17,0,8.17
2017,4,12,15,17,0,8.244
2017,4,12,18,17,0,8.172
2017,4,12,21,17,0,8.102
2017,4,13,0,17,0,8.028
2017,4,13,3,17,0,8.114
2017,4,13,6,17,0,8.128
2017,4,13,9,17,0,8.157
2017,4,13,12,17,0,8.206
2017,4,13,15,17,0,8.258
2017,4,13,18,17,0,8.145
2017,4,13,21,17,0,8.155
2017,4,14,0,17,0,8.149
2017,4,14,3,17,0,8.137
2017,4,14,9,17,0,8.14
2017,4,14,12,17,0,8.185
2017,4,14,15,17,0,8.231
2017,4,14,18,17,0,8.211
2017,4,14,21,17,0,8.158
2017,4,15,0,17,0,8.088
2017,4,15,3,17,0,8.649
2017,4,15,6,17,0,8.222
2017,4,15,9,17,0,8.188
2017,4,15,12,17,0,8.174
2017,4,15,15,17,0,8.449
2017,4,15,18,17,0,8.21
2017,4,15,21,17,0,8.267
2017,4,16,0,17,0,8.266
2017,4,16,3,17,0,8.131
2017,4,16,6,17,0,8.12
2017,4,16,9,17,0,8.152
2017,4,16,12,17,0,8.227
2017,4,16,15,17,0,8.277
2017,4,16,18,17,0,8.171
2017,4,16,21,17,0,NaN
2017,4,17,0,17,0,8.388
2017,4,17,3,17,0,8.333
2017,4,17,6,17,0,8.239
2017,4,17,9,17,0,8.104
2017,4,17,12,17,0,8.286
2017,4,17,15,17,0,8.419
2017,4,17,18,17,0,8.263
2017,4,17,21,17,0,8.167
2017,4,18,0,17,0,8.559
2017,4,18,3,17,0,8.227
2017,4,18,6,17,0,8.267
2017,4,18,9,17,0,8.259
2017,4,18,12,17,0,8.117
2017,4,18,15,17,0,8.113
2017,4,18,18,17,0,8.257
2017,4,18,21,17,0,8.265
2017,4,19,0,17,0,8.307
2017,4,19,3,17,0,8.234
2017,4,19,6,17,0,8.138
2017,4,19,9,17,0,8.285
2017,4,19,12,17,0,8.305
2017,4,19,15,17,0,8.07
2017,4,19,18,17,0,8.294
2017,4,19,21,17,0,8.279
2017,4,20,0,17,0,8.311
2017,4,20,3,17,0,8.514
2017,4,20,6,17,0,8.15
2017,4,20,9,17,0,8.228
2017,4,20,12,17,0,8.12
2017,4,20,15,17,0,8.151
2017,4,20,18,17,0,8.152
2017,4,20,21,17,0,8.283
2017,4,21,0,17,0,8.232
2017,4,21,3,17,0,8.214
2017,4,21,6,17,0,8.3
2017,4,21,9,17,0,8.291
2017,4,21,12,17,0,8.28
2017,4,21,15,17,0,8.265
2017,4,21,18,17,0,8.214
2017,4,21,21,17,0,8.248
2017,4,22,0,17,0,8.098
2017,4,22,3,17,0,8.295
2017,4,22,6,17,0,8.02
2017,4,22,9,17,0,8.152
2017,4,22,12,17,0,8.162
2017,4,22,15,17,0,8.255
2017,4,22,18,17,0,8.211
2017,4,22,21,17,0,8.259
2017,4,23,0,17,0,8.156
2017,4,23,3,17,0,8.145
2017,4,23,6,17,0,8.159
2017,4,23,9,17,0,8.075
2017,4,23,12,17,0,8.162
2017,4,23,15,17,0,8.308
2017,4,23,18,17,0,8.107
2017,4,23,21,17,0,8.216
2017,4,24,0,17,0,8.192
2017,4,24,3,17,0,8.07
2017,4,24,6,17,0,8.287
2017,4,24,9,17,0,8.137
2017,4,24,12,17,0,8.363
2017,4,24,15,17,0,8.339
2017,4,24,18,17,0,8.134
2017,4,24,21,17,0,8.515
2017,4,25,0,17,0,8.175
2017,4,25,3,17,0,8.131
2017,4,25,6,17,0,8.085
2017,4,25,9,17,0,8.116
2017,4,25,12,17,0,8.088
2017,4,25,15,17,0,8.094
2017,4,25,18,17,0,8.078
2017,4,25,21,17,0,8.103
2017,4,26,0,17,0,8.301
2017,4,26,3,17,0,8.054
2017,4,26,6,17,0,8.063
2017,4,26,9,17,0,8.136
2017,4,26,12,17,0,7.923
2017,4,26,15,17,0,8.127
2017,4,26,18,17,0,8.036
2017,4,26,21,17,0,8.035
2017,4,27,0,17,0,8.151
2017,4,27,3,17,0,8.178
2017,4,27,6,17,0,8.034
2017,4,27,9,17,0,8.069
2017,4,27,12,17,0,8.02
2017,4,27,15,17,0,8.099
2017,4,27,18,17,0,8.291
2017,4,27,21,17,0,8.001
2017,4,27,23,17,0,NaN
2017,4,28,0,17,0,8.065
2017,4,28,1,17,0,NaN
2017,4,28,2,17,0,NaN
2017,4,28,3,17,0,8.031
2017,4,28,4,17,0,NaN
2017,4,28,5,17,0,NaN
2017,4,28,6,17,0,8.09
2017,4,28,7,17,0,NaN
2017,4,28,8,17,0,NaN
2017,4,28,9,17,0,8.072
2017,4,28,10,17,0,NaN
2017,4,28,11,17,0,NaN
2017,4,28,12,17,0,8.054
2017,4,28,13,17,0,NaN
2017,4,28,14,17,0,NaN
2017,4,28,15,17,0,8.01
2017,4,28,16,17,0,NaN
2017,4,28,17,17,0,NaN
2017,4,28,18,17,0,NaN
2017,4,28,19,17,0,8.02
2017,4,28,20,17,0,8.03
2017,4,28,21,17,0,8.046
2017,4,28,22,17,0,8.05
2017,4,28,23,17,0,8.045
2017,4,29,0,17,0,8.041
2017,4,29,1,17,0,8.046
2017,4,29,2,17,0,8.039
2017,4,29,3,17,0,8.036
2017,4,29,4,17,0,8.019
2017,4,29,5,17,0,8.019
2017,4,29,6,17,0,7.987
2017,4,29,7,17,0,7.992
2017,4,29,8,17,0,7.995
2017,4,29,9,17,0,7.984
2017,4,29,10,17,0,7.995
2017,4,29,11,17,0,7.984
2017,4,29,12,17,0,7.998
2017,4,29,13,17,0,7.998
2017,4,29,14,17,0,7.997
2017,4,29,15,17,0,7.979
2017,4,29,16,17,0,7.983
2017,4,29,17,17,0,7.978
2017,4,29,18,17,0,8.022
2017,4,29,19,17,0,8.02
2017,4,29,20,17,0,8.051
2017,4,29,21,17,0,8.06
2017,4,29,22,17,0,8.068
2017,4,29,23,17,0,8.03
2017,4,30,0,17,0,8.016
2017,4,30,1,17,0,8.038
2017,4,30,2,17,0,8.041
2017,4,30,3,17,0,8.03
2017,4,30,4,17,0,8.027
2017,4,30,5,17,0,7.997
2017,4,30,6,17,0,7.992
2017,4,30,7,17,0,8.013
2017,4,30,8,17,0,7.992
2017,4,30,9,17,0,7.987
2017,4,30,10,17,0,7.988
2017,4,30,11,17,0,7.978
2017,4,30,12,17,0,7.968
2017,4,30,13,17,0,7.995
2017,4,30,14,17,0,8.02
2017,4,30,15,17,0,7.995
2017,4,30,16,17,0,8.003
2017,4,30,17,17,0,8.001
2017,4,30,18,17,0,8.062
2017,4,30,19,17,0,8.071
2017,4,30,20,17,0,8.128
2017,4,30,21,17,0,8.105
2017,4,30,22,17,0,8.157
2017,4,30,23,17,0,8.183
2017,5,1,0,17,0,8.18
2017,5,1,1,17,0,8.114
2017,5,1,2,17,0,8.15
2017,5,1,3,17,0,8.105
2017,5,1,4,17,0,8.058
2017,5,1,5,17,0,8.083
2017,5,1,6,17,0,8.091
2017,5,1,7,17,0,8.058
2017,5,1,8,17,0,8.033
2017,5,1,9,17,0,8.053
2017,5,1,10,17,0,8.033
2017,5,1,11,17,0,8.007
2017,5,1,12,17,0,8.029
2017,5,1,13,17,0,8.043
2017,5,1,14,17,0,8.076
2017,5,1,15,17,0,8.078
2017,5,1,16,17,0,8.071
2017,5,1,17,17,0,8.058
2017,5,1,18,17,0,8.024
2017,5,1,19,17,0,8.043
2017,5,1,20,17,0,8.09
2017,5,1,21,17,0,8.09
2017,5,1,22,17,0,8.105
2017,5,1,23,17,0,8.119
2017,5,2,0,17,0,8.184
2017,5,2,1,17,0,8.186
2017,5,2,2,17,0,8.191
2017,5,2,3,17,0,8.167
2017,5,2,4,17,0,8.196
2017,5,2,5,17,0,8.159
2017,5,2,6,17,0,8.165
2017,5,2,7,17,0,8.099
2017,5,2,8,17,0,8.11
2017,5,2,9,17,0,8.086
2017,5,2,10,17,0,8.057
2017,5,2,11,17,0,8.002
2017,5,2,12,17,0,8.026
2017,5,2,13,17,0,8.027
2017,5,2,14,17,0,8.059
2017,5,2,15,17,0,8.076
2017,5,2,16,17,0,8.084
2017,5,2,17,17,0,8.128
2017,5,2,18,17,0,8.11
2017,5,2,19,17,0,8.093
2017,5,2,20,17,0,8.073
2017,5,2,21,17,0,8.109
2017,5,2,22,17,0,8.203
2017,5,2,23,17,0,8.18
2017,5,3,0,17,0,8.288
2017,5,3,1,17,0,8.256
2017,5,3,2,17,0,8.267
